Date,Hour,Minute,Second,Milisecond,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
2021-09-24,15,16,21,805,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,814,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,824,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,835,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,843,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,852,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,860,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,869,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,877,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,886,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,910,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,919,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,927,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,936,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,948,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,964,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,21,978,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,2,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,19,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,33,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,42,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,53,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,64,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,74,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,85,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,95,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,105,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,120,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,138,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,152,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,171,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,184,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,193,-0.578,5.2,0.674,0,0,0,1
2021-09-24,15,16,22,204,-0.578,5.2,0.674,0,0,0,1
